MSCI Code,Security Name,Price,Currency,Shares FIF Adjusted,Weight%,Price Adj. Factor,Price Adj. Factor Description,FX Rate,Country,Reuters Code (RIC),Currency Next Day
1839001,TAIWAN SEMICONDUCTOR MFG,481.5,TWD,24633861435.1,42.12,1,,1.000000,TW,2330.TW,TWD
1865901,HON HAI PRECISION IND CO,102,TWD,12476691549,4.52,1,,1.000000,TW,2317.TW,TWD
2789001,MEDIATEK INC,729,TWD,1519085699.1,3.93,1,,1.000000,TW,2454.TW,TWD
1693201,DELTA ELECTRONICS,294.5,TWD,1948157250,2.04,1,,1.000000,TW,2308.TW,TWD
1558801,UNITED MICROELECTRONICS,43.5,TWD,11858017309.8,1.83,1,,1.000000,TW,2303.TW,TWD
1865801,FUBON FINANCIAL HOLDING,57.5,TWD,7437127568.4,1.52,1,,1.000000,TW,2881.TW,TWD
2390001,CHUNGHWA TELECOM CO,112,TWD,3801148807.05,1.51,1,,1.000000,TW,2412.TW,TWD
1865401,CTBC FINANCIAL HOLDING,22.7,TWD,17547290612.1,1.41,1,,1.000000,TW,2891.TW,TWD
1554401,FORMOSA PLASTIC CORP,87.9,TWD,4137731507.65,1.29,1,,1.000000,TW,1301.TW,TWD
1552201,CATHAY FINANCIAL HOLDING,41.1,TWD,8546438490.6,1.25,1,,1.000000,TW,2882.TW,TWD
1556301,NAN YA PLASTIC,73.5,TWD,4758493459.8,1.24,1,,1.000000,TW,1303.TW,TWD
2391201,MEGA FINANCIAL HOLDING,31.15,TWD,11151855680,1.23,1,,1.000000,TW,2886.TW,TWD
1553401,CHINA STEEL CORP COMMON,29.05,TWD,11801145747,1.22,1,,1.000000,TW,2002.TW,TWD
9554801,ASE TECHNOLOGY HOLDING,99.5,TWD,3269945949,1.16,1,,1.000000,TW,3711.TW,TWD
1556701,UNI-PRESIDENT ENT.,66,TWD,4829713107.85,1.13,1,,1.000000,TW,1216.TW,TWD
2886901,E.SUN FINANCIAL HOLDINGS,24.65,TWD,12847590000,1.12,1,,1.000000,TW,2884.TW,TWD
6933701,CHAILEASE HOLDING,212.5,TWD,1424622737.7,1.07,1,,1.000000,TW,5871.TW,TWD
1554101,FIRST FINANCIAL HLDG CO,26.2,TWD,10578753466.4,0.98,1,,1.000000,TW,2892.TW,TWD
3034401,TAIWAN COPR FINL HLDG,26.25,TWD,9806254776.5,0.91,1,,1.000000,TW,5880.TW,TWD
1554301,FORMOSA CHEMICALS FIBRE,70.9,TWD,3516712191,0.89,1,,1.000000,TW,1326.TW,TWD
2390101,YUANTA FINANCIAL HOLDING,22.4,TWD,10001247192.8,0.8,1,,1.000000,TW,2885.TW,TWD
2817501,LARGAN PRECISION CO,2190,TWD,100101147.75,0.78,1,,1.000000,TW,3008.TW,TWD
1557701,TAIWAN CEMENT CORP,33.7,TWD,6083720271.1,0.73,1,,1.000000,TW,1101.TW,TWD
1554801,HUA NAN FINANCIAL HLDGS,22.65,TWD,8867784381.95,0.71,1,,1.000000,TW,2880.TW,TWD
1552901,CHINA DEV FINANCIAL HLDG,12.95,TWD,15474489570,0.71,1,,1.000000,TW,2883.TW,TWD
2286201,QUANTA COMPUTER,72.5,TWD,2703839202.4,0.7,1,,1.000000,TW,2382.TW,TWD
2255101,ASUSTEK COMPUTER,268.5,TWD,705622266,0.67,1,,1.000000,TW,2357.TW,TWD
3348601,UNIMICRON TECHNOLOGY,149.5,TWD,1253971283.05,0.67,1,,1.000000,TW,3037.TW,TWD
3034301,HOTAI MOTOR COMPANY,624,TWD,300398450,0.67,1,,1.000000,TW,2207.TW,TWD
9706101,SHANGHAI COMM & SAV BANK,47.8,TWD,3848107068.8,0.65,1,,1.000000,TW,5876.TW,TWD
2518401,SINOPAC HOLDINGS,17.75,TWD,10245388181.4,0.65,1,,1.000000,TW,2890.TW,TWD
2887001,NOVATEK MICROELECTRS,299,TWD,578085895.55,0.61,1,,1.000000,TW,3034.TW,TWD
2390401,YAGEO CORP,479,TWD,346424754.4,0.59,1,,1.000000,TW,2327.TW,TWD
2781901,TAIWAN MOBILE,95.4,TWD,1724424465.47,0.58,1,,1.000000,TW,3045.TW,TWD
2389301,TAISHIN FINANCIAL HLDG,15.05,TWD,10776732873.3,0.58,1,,1.000000,TW,2887.TW,TWD
1553801,EVERGREEN MARINE CORP,154.5,TWD,1015881434.4,0.56,1,,1.000000,TW,2603.TW,TWD
2286301,PRESIDENT CHAIN STORE,273,TWD,571792680.8,0.55,1,,1.000000,TW,2912.TW,TWD
7448101,SILERGY CORP,477,TWD,323077197,0.55,1,,1.000000,TW,6415.TW,TWD
3503801,E INK HOLDINGS,170,TWD,855303536.25,0.52,1,,1.000000,TW,8069.TWO,TWD
2816901,ADVANTECH CO,334.5,TWD,426785596.05,0.51,1,,1.000000,TW,2395.TW,TWD
2389201,REALTEK SEMICONDUCTOR,299.5,TWD,461577276.9,0.49,1,,1.000000,TW,2379.TW,TWD
6867901,AIRTAC INTERNATIONAL,947,TWD,139999998.6,0.47,1,,1.000000,TW,1590.TW,TWD
2428601,LITE-ON TECHNOLOGY CORP,63.7,TWD,1998236977.2,0.45,1,,1.000000,TW,2301.TW,TWD
6428101,PEGATRON,63.1,TWD,2001339979.5,0.45,1,,1.000000,TW,4938.TW,TWD
2428101,ACCTON TECHNOLOGY CORP,250.5,TWD,504043557.3,0.45,1,,1.000000,TW,2345.TW,TWD
1559201,WALSIN LIHWA CORP,46.95,TWD,2569933063.6,0.43,1,,1.000000,TW,1605.TW,TWD
1846701,SHIN KONG FINL HLDGS,8.71,TWD,13122792356.55,0.41,1,,1.000000,TW,2888.TW,TWD
7506501,VOLTRONIC POWER TECH,1715,TWD,65419625.25,0.4,1,,1.000000,TW,6409.TW,TWD
3048301,CATCHER TECH CO,173.5,TWD,643020361.2,0.4,1,,1.000000,TW,2474.TW,TWD
